B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.11395,0.0856,0.0704,0.0456,0.07095,0.1674,0.19695,0.18175,0.2153,0.0654,0.0938,0.0388,0.5988563888277986,0.2636134108845328,0.2430210831276333,0.4384645825089038,0.0910373549703636,270.0,0.0,0.0,1.0,4233.704142011835,65.04142011834321,0.1632645915759252,0.4040601336137052,65.04142011834321,0.0,1.0,0.1632645915759252,0.0002368746883836,4233.704142011835,0.4040601336137052,1.0,0,7
0.1147,0.0852,0.0727,0.0478,0.07375,0.17825,0.21235,0.1961,0.2267,0.06685,0.10475,0.04335,0.6080360803608036,0.2828382234021451,0.2625619855191474,0.4534000370576246,0.096817250529025,270.0,0.0,0.0,1.0,4270.07100591716,65.31360946745563,0.1575224957109345,0.396891037579503,65.31360946745563,0.0,1.0,0.1575224957109345,0.0002350376225799,4270.07100591716,0.396891037579503,1.0,0,7
0.11395,0.0867,0.07445,0.04805,0.07095,0.1674,0.19695,0.20295,0.2153,0.0654,0.0938,0.0388,0.6171314741035856,0.293756210791416,0.2736031675905829,0.4819277108433735,0.0987509367044181,270.0,0.0,0.0,1.0,4237.591715976332,65.07100591715977,0.1608837225587339,0.4011031320729544,65.07100591715977,0.0,1.0,0.1608837225587339,0.0002366659480297,4237.591715976332,0.4011031320729544,1.0,0,7
0.1147,0.0854,0.0721,0.0475,0.07375,0.17825,0.21235,0.2101,0.2267,0.06685,0.10475,0.04335,0.6312111801242237,0.3070009817989578,0.2869664395252961,0.4803593447243263,0.0998986986902231,270.0,0.0,0.0,1.0,4270.094674556214,65.31360946745562,0.1571023423549596,0.3963613784855427,65.31360946745562,0.0,1.0,0.1571023423549596,0.0002350422175712,4270.094674556214,0.3963613784855427,1.0,0,7
0.1147,0.0864,0.0716,0.04825,0.07375,0.17825,0.21235,0.20535,0.2267,0.06685,0.10475,0.04335,0.6194794952681388,0.2972788858191727,0.2771927596081084,0.471515585811537,0.099539627787128,90.0,2.862405300140381,7.620705127716064,1.0,4311.816568047338,65.62721893491124,0.151430272049298,0.3891404271587546,65.62721893491124,0.0,1.0,0.151430272049298,0.0002328933521236,4311.816568047338,0.3891404271587546,1.0,0,7
0.11395,0.08605,0.07275,0.0484,0.07255,0.1723,0.2055,0.2047,0.21805,0.0654,0.09705,0.04105,0.6175424733306993,0.2958299895522614,0.275745352047562,0.4766456266907123,0.0995363250275998,270.0,0.0,0.0,1.0,4242.124260355029,65.10650887573966,0.163194566016596,0.4039734719218529,65.10650887573966,0.0,1.0,0.163194566016596,0.0002363935657665,4242.124260355029,0.4039734719218529,1.0,0,7
0.1147,0.0849,0.07165,0.0468,0.07215,0.1703,0.20285,0.19605,0.21825,0.06685,0.10025,0.04245,0.6145768993205682,0.285183090410205,0.2647895189679443,0.4619686800894854,0.0957869510946037,270.0,0.0,0.0,1.0,4269.118343195267,65.30769230769232,0.1594131858128217,0.3992658084695228,65.30769230769232,0.0,1.0,0.1594131858128217,0.0002350529665324,4269.118343195267,0.3992658084695228,1.0,0,7
0.1147,0.086,0.0716,0.0488,0.07215,0.1703,0.20285,0.1929,0.21825,0.06685,0.10025,0.04245,0.5961936284650392,0.2749958015908154,0.2548241960573489,0.4555744199207696,0.0970232961715896,90.0,2.862405300140381,7.620705127716064,1.0,4308.514792899409,65.60355029585797,0.1557718567277056,0.3946794354000543,65.60355029585797,0.0,1.0,0.1557718567277056,0.0002330305146096,4308.514792899409,0.3946794354000543,1.0,0,7
0.11395,0.0864,0.0717,0.0483,0.07255,0.1723,0.2055,0.1944,0.21805,0.0654,0.09705,0.04105,0.6019777503090235,0.2787487026069967,0.2585200165183081,0.4564525191983516,0.0968995356026023,270.0,0.0,0.0,1.0,4228.80473372781,65.00591715976331,0.1712475053394489,0.4138206197610855,65.00591715976331,0.0,1.0,0.1712475053394489,0.000237088750542,4228.80473372781,0.4138206197610855,1.0,0,7
0.11395,0.0853,0.07365,0.04855,0.07255,0.1723,0.2055,0.19645,0.21805,0.0654,0.09705,0.04105,0.603673469387755,0.281613441281979,0.2614297677118913,0.4605947955390335,0.0976608800902388,270.0,0.0,0.0,1.0,4245.9763313609465,65.13609467455622,0.1637547704912293,0.4046662458016845,65.13609467455622,0.0,1.0,0.1637547704912293,0.0002361787339191,4245.9763313609465,0.4046662458016845,1.0,0,7
0.1147,0.0858,0.07315,0.0472,0.07215,0.1703,0.20285,0.19155,0.21825,0.06685,0.10025,0.04245,0.604607329842932,0.2765685951426623,0.2561864708660129,0.4527872582480091,0.0950850145922058,270.0,0.0,0.0,1.0,4267.366863905327,65.2958579881657,0.1623542593046463,0.402932077780668,65.2958579881657,0.0,1.0,0.1623542593046463,0.0002351068391253,4267.366863905327,0.402932077780668,1.0,0,7
0.1147,0.08575,0.07225,0.04815,0.07215,0.1703,0.20285,0.19005,0.21825,0.06685,0.10025,0.04245,0.5957178841309824,0.2717120732837524,0.2514510915426259,0.4496567505720824,0.0956603758094227,71.56504821777344,2.2636361122131348,7.855706691741943,1.0,4302.005917159765,65.55621301775149,0.161794054830013,0.4022363171445525,65.55621301775149,0.0,1.0,0.161794054830013,0.0002333213164515,4302.005917159765,0.4022363171445525,1.0,0,7
