B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.1162,0.0876,0.07355,0.04465,0.0684,0.16365,0.197,0.19025,0.2129,0.06045,0.0952,0.0408,0.6198382290336314,0.280558959773703,0.2598489515579684,0.4710999420065726,0.0921664933693367,26.565052032470703,6.379370212554932,7.153858184814453,57779.0,4167.704142011834,64.54437869822486,0.2171142467000455,0.4659551981682848,64.55029585798817,0.0,1.0,0.2180245789713245,0.0002402838041143,4168.443786982248,0.4669310216416602,1.0,1,7
0.11525,0.08805,0.07335,0.0446,0.06905,0.16085,0.19245,0.18965,0.20445,0.0621,0.0943,0.0404,0.6192102454642476,0.2796543506929181,0.2589330134531493,0.4661770390413606,0.0919695058157865,32.47119140625,9.25668239593506,6.80456018447876,60799.0,4126.497041420119,64.22485207100593,0.2134028920556003,0.4619555087403984,64.23076923076924,0.0,1.0,0.2143832498862085,0.0002426705299078,4127.236686390533,0.4630153883902872,1.0,1,7
0.11525,0.08755,0.07355,0.045,0.06905,0.16085,0.19245,0.19235,0.20445,0.0621,0.0943,0.0404,0.6208131451443015,0.2832891144691813,0.2626425151920203,0.4716908951798011,0.0930362832447642,37.87498474121094,8.111279487609863,6.92499303817749,59089.0,4136.550295857988,64.30177514792899,0.2075907706312804,0.4556213017751479,64.3076923076923,0.0,1.0,0.2082910262245719,0.0002421196253231,4137.289940828402,0.4563891171189032,1.0,1,7
0.1162,0.087,0.0732,0.0455,0.0675,0.16295,0.1939,0.1953,0.20735,0.06045,0.09305,0.03935,0.6220930232558138,0.2870831736297431,0.2665318925106485,0.4863013698630136,0.0942663778873464,26.565052032470703,6.379370212554932,7.167747020721436,59089.0,4138.94674556213,64.31952662721893,0.2050698504954308,0.4528463873052658,64.32544378698225,0.0,1.0,0.206050208326039,0.0002420078574301,4139.686390532544,0.4539275364262879,1.0,1,7
0.11525,0.0872,0.07085,0.04415,0.06905,0.16085,0.19245,0.18095,0.20445,0.0621,0.0943,0.0404,0.6077298978231898,0.2657528498496398,0.2449535521933694,0.4476,0.0893808844216703,90.0,5.710593223571777,7.293017864227295,60799.0,4102.846153846154,64.0414201183432,0.2197051923952242,0.4687272046673035,64.04733727810651,0.0,1.0,0.2208256013444907,0.0002440417517946,4103.585798816568,0.4699208458288382,1.0,1,7
0.11525,0.0868,0.0713,0.0448,0.06905,0.16085,0.19245,0.1854,0.20445,0.0621,0.0943,0.0404,0.6107732406602954,0.2718652352813785,0.2511498877374929,0.4572607584987228,0.0911368202210281,90.0,5.710593223571777,7.279318809509277,59089.0,4114.4378698224855,64.1301775147929,0.2092713840551801,0.4574618935552776,64.13609467455622,0.0,1.0,0.21011169076713,0.0002434046619254,4115.177514792899,0.4583794179139482,1.0,1,7
0.1162,0.08685,0.0714,0.04525,0.0675,0.16295,0.1939,0.18575,0.20735,0.06045,0.09305,0.03935,0.6082251082251083,0.2713717309846641,0.2507177454486852,0.4669299111549852,0.0916798096638512,90.0,2.862405300140381,7.972465991973877,59089.0,4117.644970414201,64.15384615384615,0.2035292881901894,0.4511422039559028,64.15976331360947,0.0,1.0,0.204719722698785,0.0002432575651572,4118.384615384615,0.4524596365409682,1.0,1,7
0.11255,0.0835,0.0693,0.04205,0.0678,0.1561,0.18405,0.17495,0.1969,0.06285,0.07885,0.03495,0.6124423963133641,0.2604105433939194,0.2393383581675072,0.4414006179196704,0.0857709012427874,281.3099365234375,3.646970510482788,7.68745231628418,53195.0,4027.5088757396456,63.42603550295858,0.1297223486572599,0.3601698886043362,63.42603550295858,0.0,1.0,0.1287419908266517,0.0002493890720517,4027.520710059172,0.3588063416756338,1.0,2,7
0.11255,0.08145,0.06655,0.0423,0.0654,0.1482,0.1782,0.1792,0.18525,0.06285,0.0751,0.0325,0.6180586907449209,0.2672324942220001,0.2461727029389486,0.4652493867538839,0.0870641143066418,300.9637451171875,4.168739795684815,7.560488700866699,54484.0,4015.7573964497046,63.33136094674556,0.1265711984874479,0.3557684619066844,63.33136094674556,0.0,1.0,0.125730891775498,0.0002501753965656,4015.769230769231,0.3545855211024529,1.0,2,7
0.11255,0.0831,0.0683,0.0418,0.0681,0.1532,0.1839,0.16745,0.19255,0.06285,0.08185,0.03505,0.6004778972520908,0.2477775937275688,0.2267806199654893,0.4217788155381023,0.0836624766547106,278.1300964355469,5.05115270614624,7.360488891601562,53195.0,4047.792899408284,63.57988165680474,0.118518259164595,0.3442648096518072,63.57396449704143,0.0,1.0,0.1180981058086201,0.0002483133747726,4047.041420118343,0.3436540496031149,1.0,2,7
